,Artist,Name,date,price,comments,repeat_sale
87,Xu Beihong,Cultivation on the Peaceful Land,12.05.2011 ,"41,899,616 ", ,0
88,Paul Cézanne,Les Pommes,05.07.2013 ,"41,605,000 ", ,0
89,Pablo Picasso,Nature morte aux tulipes,11.08.2012 ,"41,522,500 ", ,1
90,Claude Monet,Le Pont du chemin de fer à Argenteuil,05.06.2008 ,"41,481,000 ", ,1
91,Andy Warhol,White Marilyn,05.13.2014 ,"41,045,000 ", ,0
92,Pablo Picasso,Au Lapin Agile,11.15.1989 ,"40,700,000 ", ,0
93,Pablo Picasso,La lecture,02.08.2011 ,"40,663,652 ", ,1
94,Edward Hopper,East Wind Over Weehawken,12.05.2013 ,"40,485,000 ", ,0
95,Gustav Klimt,Litzlberg am Attersee,11.02.2011 ,"40,402,500 ", ,0
96,Jackson Pollock,Number 4,11.13.2012 ,"40,402,500 ", ,0
97,Franz Kline,Untitled,11.14.2012 ,"40,402,500 ", ,0
98,Vincent van Gogh,"L′Arlésienne, Madame Ginoux",05.02.2006 ,"40,336,000 ", ,0
99,Paul Gauguin,L′homme à la hache,11.08.2006 ,"40,336,000 ", ,0
100,Gustav Klimt,Birch Forest,11.08.2006 ,"40,336,000 ", ,0
101,Egon Schiele,Häuser mit bunter Wäsche,06.22.2011 ,"40,030,520 ",Vorstadt II Houses with laundry Suburb II ,0
102,Pablo Picasso,Tête de femme,11.06.2013 ,"39,925,000 ", ,0
103,Vincent van Gogh,Sunflowers,03.30.1987 ,"39,663,460 ", ,0
104,Francis Bacon,Study of Nude With Figure in a Mirror,02.27.2008 ,"39,322,288 ", ,0
105,Paul Gauguin,Te poipoi,11.07.2007 ,"39,241,000 ",Le matin ,0
106,Fernand Léger,étude pour �la femme en bleu�,05.07.2008 ,"39,241,000 ", ,0
107,Paul Gauguin,Maternité,11.04.2004 ,"39,208,000 ",II ,0
108,Pablo Picasso,Acrobate et jeune Arlequin,11.28.1988 ,"38,532,448 ", ,0
109,Paul Cézanne,La montagne Sainte-Victoire,05.07.2001 ,"38,502,500 ", ,0
110,Andy Warhol,Self-portrait,05.11.2011 ,"38,442,500 ",in 4 parts ,0
111,Andy Warhol,Four Marilyns,05.16.2013 ,"38,245,000 ", ,1
112,Edvard Munch,Vampire,11.03.2008 ,"38,162,500 ", ,0
113,Ernst Ludwig Kirchner,Berliner Strassenszene,11.08.2006 ,"38,096,000 ",recto; Bäume verso ,0
114,Constantin Brancusi,Madame L.R.,02.23.2009 ,"37,435,600 ",Portrait de Mme L.R. ,0
115,Raphaël (Raphaël Urbinas Sanzio),"Portrait of Lorenzo de′ Medici, Duke of Urbino",07.05.2007 ,"37,320,048 ","1492-1519, three-quarter-length, holding a gold box ",0
116,,"Domplatz, Mailand",05.14.2013 ,"37,125,000 ","Cathedral Square, Milan ",1
117,Edgar Degas,Danseuse au repos,11.03.2008 ,"37,042,500 ", ,1
118,Andy Warhol,Double Elvis,05.09.2012 ,"37,042,500 ",Ferus Type ,0
119,Francis Bacon,Portrait of Lucian Freud,02.10.2011 ,"36,999,812 ",studiesin 3 parts ,0
120,Paul Cézanne,Nature morte aux fruits et pot de gingembre,11.07.2006 ,"36,976,000 ", ,1
121,Joan Miró,Peinture,06.19.2012 ,"36,955,820 ",étoile Bleue ,1
122,Yves Klein,Le Rose du bleu,06.27.2012 ,"36,764,976 ",RE 22 ,0
123,Claude Monet,Nymphéas,06.19.2007 ,"36,659,600 ", ,0
124,Yves Klein,FC1,05.08.2012 ,"36,482,500 ",Fire Color 1 ,0
125,George Stubbs,"Gimcrack on Newmarket Heath, with a trainer, jockey and stable lad",07.05.2011 ,"36,101,240 ", ,0
126,Jasper Johns,Flag,11.11.2014 ,"36,005,000 ", ,0
127,Sir Lawrence Alma-Tadema,The finding of Moses,11.04.2010 ,"35,922,500 ", ,1
128,,"Giudecca, La Donna della Salute and San Giorgio",04.06.2006 ,"35,856,000 ", ,0
129,Claude Monet,Le grand canal,02.03.2015 ,"35,633,680 ", ,1
130,Claude Monet,"Waterloo Bridge, temps couvert",06.18.2007 ,"35,462,000 ", ,1
131,Andy Warhol,Coca-cola - 4,11.09.2010 ,"35,362,500 ",Large coca-cola ,0
132,Georges Seurat,"Paysage,L′Ile de la Grande-Jatte",05.10.1999 ,"35,202,500 ", ,0
133,John Constable,The Lock,07.03.2012 ,"35,183,392 ", ,1
134,Jean-Michel Basquiat,Untitled,05.13.2014 ,"34,885,000 ", ,0
135,Pablo Picasso,Le repos,05.02.2006 ,"34,736,000 ", ,0
136,Francis Bacon,Self-portrait,06.30.2008 ,"34,498,968 ",study; in 3 parts ,0
137,,Abstraktes Bild,10.12.2012 ,"34,165,172 ", ,1
138,Jeff Koons,Jim Beam - J.B. Turner Train,05.13.2014 ,"33,765,000 ", ,0
139,Claude Monet,Alice hoschedé au jardin,11.04.2014 ,"33,765,000 ", ,1
140,Mark Rothko,Untitled no. 17,05.11.2011 ,"33,682,500 ", ,0
141,Jeff Koons,Tulips,11.14.2012 ,"33,682,500 ", ,0
142,Francis Bacon,Portrait of Henrietta Moraes,02.14.2012 ,"33,664,120 ", ,0
143,Henri Matisse,"L′Odalisque, harmonie bleue",11.06.2007 ,"33,641,000 ", ,0
144,Lucian Freud,Benefits Supervisor Sleeping,05.13.2008 ,"33,641,000 ", ,0
145,Francis Bacon,Study for Self-Portrait,06.27.2012 ,"33,619,208 ", ,0
146,Edouard Manet,"Portrait de Manet par lui-même, en buste",06.22.2010 ,"33,296,082 ",Manet à la palette ,1
